epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.739,0.90444,2.84112,1.54025,0.73177,0.70339,0.76037,0.56883,0.84873,2.08142,1.43703,0.000302551,0.000302551,0.000302551
2,1115.08,0.87488,1.90325,1.49285,0.7397,0.72076,0.81388,0.63195,0.79504,1.64287,1.3572,0.000545602,0.000545602,0.000545602
3,1668.55,0.82324,1.53932,1.4504,0.68055,0.78245,0.81344,0.65861,0.73337,1.30723,1.31701,0.000728658,0.000728658,0.000728658
